question,generated_sql,expected_sql,score
How many singers do we have?,SELECT count(*) FROM singers,SELECT count(*) FROM singer,0.0
What is the total number of singers?,SELECT count(*) FROM singers,SELECT count(*) FROM singer,0.0
"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name, country, age FROM singers ORDER BY age DESC","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",0.0
"What are the names, countries, and ages for every singer in descending order of age?","SELECT name, country, age FROM singers ORDER BY age DESC","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",0.0
"What is the average, minimum, and maximum age of all singers from France?","SELECT AVG(age), MIN(age), MAX(age) FROM singers WHERE nationality = 'France'","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",0.0
"What is the average, minimum, and maximum age for all French singers?","SELECT AVG(age), MIN(age), MAX(age) FROM singers WHERE nationality = 'French'","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",0.0
Show the name and the release year of the song by the youngest singer.,"SELECT name, year FROM songs\nWHERE singer = (SELECT MIN(age) FROM singers)","SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",0.0
What are the names and release years for all the songs of the youngest singer?,"SELECT name, release_year FROM songs WHERE singer = (SELECT name FROM singers WHERE age = (SELECT MIN(age) FROM singers))","SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",0.0
What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT country FROM singers WHERE age > 20,SELECT DISTINCT country FROM singer WHERE age  >  20,0.0
What are  the different countries with singers above age 20?,SELECT DISTINCT country FROM singers WHERE age > 20,SELECT DISTINCT country FROM singer WHERE age  >  20,0.0
Show all countries and the number of singers in each country.,"SELECT country, COUNT(*) AS num_singers FROM singers GROUP BY country","SELECT country ,  count(*) FROM singer GROUP BY country",0.0
How many singers are from each country?,"SELECT country, count(*) as num_singers FROM singers GROUP BY country","SELECT country ,  count(*) FROM singer GROUP BY country",0.0
List all song names by singers above the average age.,SELECT s.name FROM songs s JOIN singers sg ON s.singer_id = sg.id WHERE sg.age > (SELECT AVG(age) FROM singers),SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),0.0
What are all the song names by singers who are older than average?,SELECT song_name FROM songs\nWHERE singer_age > (SELECT AVG(singer_age) FROM singers),SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),0.0
Show location and name for all stadiums with a capacity between 5000 and 10000.,"SELECT location, name FROM stadiums WHERE capacity BETWEEN 5000 AND 10000","SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",1.0
What are the locations and names of all stations with capacity between 5000 and 10000?,"SELECT name, location FROM stations WHERE capacity BETWEEN 5000 AND 10000","SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",1.0
What is the average and the maximum capacity of all stadiums?,"SELECT AVG(capacity) AS avg_capacity, MAX(capacity) AS max_capacity FROM stadiums","SELECT avg(capacity) ,  max(capacity) FROM stadium",0.0
What is the average and maximum capacities for all stations?,"SELECT AVG(capacity) AS avg_capacity, MAX(capacity) AS max_capacity FROM stations","SELECT avg(capacity) ,  max(capacity) FROM stadium",0.0
What is the name and capacity for the stadium with highest average attendance?,"SELECT name, capacity\nFROM stadium\nWHERE (attendance/num_seats) = (SELECT max(avg_attendance) FROM stadium);\n\n### Explanation\nTo find the stadium with the highest average attendance, we first need to calculate the average attendance for each stadium. We do this by using a subquery in the WHERE clause to find the maximum average attendance. The main query then selects the name and capacity for the stadium that","SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",0.0
