question,generated_sql,expected_sql,score
How many singers do we have?,SELECT count(*) FROM singer,SELECT count(*) FROM singer,1.0
What is the total number of singers?,SELECT count(*) FROM singer,SELECT count(*) FROM singer,1.0
"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",1.0
"What are the names, countries, and ages for every singer in descending order of age?","SELECT name ,  country ,  age FROM singer ORDER BY age DESCENDING","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",0.0
"What is the average, minimum, and maximum age of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",1.0
"What is the average, minimum, and maximum age for all French singers?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE nationality  =  'French' AND role  =  'Singer'","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",0.0
Show the name and the release year of the song by the youngest singer.,"SELECT T1.title ,  T1.year FROM song AS T1 JOIN artist AS T2 ON T1.artist_id  =  T2.artist_id ORDER BY T2.age LIMIT 1","SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",0.0
What are the names and release years for all the songs of the youngest singer?,"SELECT T1.title ,  T1.year FROM song AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.id ORDER BY T2.age LIMIT 1","SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",0.0
What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singer WHERE age  >  20,1.0
What are  the different countries with singers above age 20?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singer WHERE age  >  20,1.0
Show all countries and the number of singers in each country.,"SELECT country ,  count(*) FROM singer GROUP BY country ORDER BY count(*) DESC","SELECT country ,  count(*) FROM singer GROUP BY country",1.0
How many singers are from each country?,"SELECT count(*) ,  country FROM singer GROUP BY country","SELECT country ,  count(*) FROM singer GROUP BY country",0.0
List all song names by singers above the average age.,SELECT T1.title FROM song AS T1 JOIN band AS T2 ON T1.bandmate  =  T2.id WHERE T2.age  >  (SELECT avg(age) FROM band),SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),0.0
What are all the song names by singers who are older than average?,SELECT T1.title FROM song AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.id WHERE T2.age  >  (SELECT avg(age) FROM singer),SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),0.0
Show location and name for all stadiums with a capacity between 5000 and 10000.,"SELECT name ,  LOCATION FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",1.0
